//以下每条记录格式为:MCC,MNC,国家,运营商,主流量K,副流量K,2FF1主参数,         若需开卡的激活参数,                    备注及说明
64F0,10,中国,联通,2048000,0,91FF001F40001E053C0C4368696E6120556E69636F6D06756E696E65740000,97FF001F40001E053C0C4368696E6120556E69636F6D06756E696E657400000A313030313050313123310891683110102105F005313030313003343132,这个流量需要客户修改数据库
1300,14,美国,H2O,102400,0,91FF000190001E053C075553412048324F086174742E6D766E6F0000,91FF000190001E053C075553412048324F086174742E6D766E6F0000,三个月100M85元 20150211启用 jhmy168.taobao.com  电话18905777288 MCC310 MNC410 认证SA3
1300,62,美国,BYOPSimle mobile,2048000,0,91FF001F40001E053C0A42594F5073696D706C650673696D706C650000,91FF001F40001E053C0A42594F5073696D706C650673696D706C650000,一个月2G高速 低速不限 美国电话不限 WCDMA1900 查本卡号#686# 查流量发usage到611611 次月可充值 客户8778787908
32F4,01,英国,待查虚商,1024000,0,91FF000FA0001E053C0A554B20486F7473706F740A6D6F62696C65646174610000,91FF000FA0001E053C0A554B20486F7473706F740A6D6F62696C65646174610000,无需开卡.12国主流量7G.21国富流量1G.有效期30天.深圳万众联游提供
32F4,85,英国,漫游卡,10240000,0,91FF009C40001E053C0A554B20486F7473706F740A6D6F62696C65646174610000,91FF009C40001E053C0A554B20486F7473706F740A6D6F62696C65646174610000,无需开卡
42F8,10,爱沙尼亚,HOTSPOT,1024000,0,91FF000FA0001E053C0B4553544F4E494120484F5407534545442E45450000,91FF000FA0001E053C0B4553544F4E494120484F5407534545442E45450000,无需开卡
54F4,90,香港,润迅,1024000,0,91FF000FA0001E053C07484B636D6E657405636D6E65740000,97FF000FA0001E053C07484B636D6E657405636D6E65740000042A33333207915862424404F20531393031310141,七天不限流量 拨号*332开通 短信中心号+852 62444402向19011发A
35F0,50,新西兰,Telecom,1536000,0,91FF001770001E053C094E5A2054656C636F6D08696E7465726E65740000,91FF001770001E053C094E5A2054656C636F6D08696E7465726E65740000,无需开卡 229元30天1.5G
25F0,30,泰国,AIS,1280000,0,91FF001388001E053C0B5461696C616E642041495308696E7465726E65740000,95FF001388001E053C0B5461696C616E642041495308696E7465726E65740000053132335031,需开卡 拨任意号码后按1开通1G高速42M 后续64K 无需发短信 七天卡1.25G
54F4,70,日本,富士卡,1024000,0,91FF000FA0001E053C0B4A6170616E20756E696F6E0533676E65740000,91FF000FA0001E053C0B4A6170616E20756E696F6E0533676E65740000,无需开卡 1.8G大陆30M
64F6,79,台湾,大哥大,1024000,0,91FF000FA0001E053C0954572044614765446101780000,91FF000FA0001E053C0954572044614765446101780000,无需开卡 七天1G
32F4,02,英美港漫游,3公司,7168000,1024000,91FF006D60001E053C0A48334720766F69616D6F0E6D62622E766F69616D6F2E6E65740000,91FF006D60001E053C0A48334720766F69616D6F0E6D62622E766F69616D6F2E6E65740000,无需开卡.12国主流量7G.21国富流量1G.有效期30天.深圳万众联游提供 150410开通
12F4,30,西班牙欧洲漫游,Orange,1024000,0,91FF000FA0001E053C064F72616E67650B4F72616E6765776F726C64064F72616E6765064F72616E6765,91FF000FA0001E053C064F72616E67650B4F72616E6765776F726C64064F72616E6765064F72616E6765,无需开卡.36国.165元10个100M.每100M用完后自动激活下个.24小时没用完作废.首次激活后90天有效期.yooaoo.taobao.com
62F2,10,德国,T-mobile,512000,0,91FF0007D0001E053C0B542D6D6F62696C6520474C10696E7465726E65742E742D646C2E64650000,91FF0007D0001E053C0B542D6D6F62696C6520474C10696E7465726E65742E742D646C2E64650000,深圳万众联游4008738783 www.lebara.de 发短信DATA500到55255收到后回JA 三个月有效期 wzlianyou.taobao.com
